"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
3,"g3-tc","1",3,"3","6","2","large",5,6,FALSE,2,1,1,-16.9965530638826
3,"g3-tc","3",3,"3","6","2","large",5,6,FALSE,2,2,2,6.46889281305809
3,"g4-l4-c34","0",4,"4","10","1","large",5,14,FALSE,2,0,0,-2265.47301094255
3,"g4-l4-c34","1",4,"4","10","1","large",5,10,FALSE,2,0,0,-721.670366028272
3,"g4-l4-c34","4",4,"4","10","1","large",5,4,FALSE,0,2,1.6,4.62796846539304
3,"g4-lg","0",4,"4","8","2","large",5,14,FALSE,2,1,0.2,-1603.05897171051
3,"g4-lg","1",4,"4","8","2","large",5,6,FALSE,4,1,0.6,-15.4661141924411
3,"g4-lg","4",4,"4","8","2","large",5,6,FALSE,2,2,0.8,2.31057086930711
3,"g4-sg","0",4,"4","8","2","small",5,12,FALSE,0,1,0.4,-91.9108738822302
3,"g4-sg","1",4,"4","8","2","small",5,6,FALSE,0,1,1,-8.45162514640155
3,"g4-sg","4",4,"4","8","2","small",5,10,FALSE,0,2,0.4,8.11875901832433
4,"g1-l1-c3","0",1,"1","1","1","large",5,2,FALSE,0,1,0.2,1.71132304751366
4,"g1-l1-c3","1",1,"1","1","1","large",5,4,FALSE,0,1,1,7.14304526171688
4,"g1-l1-c3","2",1,"1","1","1","large",5,12,FALSE,0,1,1,10.1468963630836
4,"g1-lg","0",1,"1","2","0","large",5,2,FALSE,0,1,0.4,-35.9014588524827
4,"g1-lg","1",1,"1","2","0","large",5,0,TRUE,0,2,1.6,2.91382019468901
4,"g1-lg","2",1,"1","2","0","large",5,2,FALSE,0,2,1.8,7.98408538190452
4,"g1-sg","0",1,"1","2","0","small",5,2,FALSE,2,1,0.2,0.473310597418849
4,"g1-sg","1",1,"1","2","0","small",5,0,TRUE,0,2,1.2,1.9203410997328
4,"g1-sg","2",1,"1","2","0","small",5,4,FALSE,2,1,0.8,2.58292712943421
4,"g2-l1-c33","0",2,"1","1","2","large",5,4,FALSE,0,1,0.2,4.61974128869892
4,"g2-l1-c33","1",2,"1","1","2","large",5,6,FALSE,0,1,1,10.4083175583884
4,"g2-l1-c33","2",2,"1","1","2","large",5,14,FALSE,0,1,1,15.0792573151131
4,"g2-l1-c43","0",2,"1","2","1","large",5,4,FALSE,0,1,0.4,-14.5524443065426
4,"g2-l1-c43","1",2,"1","2","1","large",5,2,FALSE,0,2,1.6,7.64524734558643
4,"g2-l1-c43","2",2,"1","2","1","large",5,6,FALSE,0,2,0.4,16.0336783063518
4,"g2-l1-c44","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-18.4619419240885
4,"g2-l1-c44","1",2,"1","4","0","large",5,2,FALSE,0,2,1.6,-2.22198338525507
4,"g2-l1-c44","2",2,"1","4","0","large",5,8,FALSE,0,1,0.6,3.61637703954998
4,"g2-l1-c45","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-257.722687807291
4,"g2-l1-c45","1",2,"1","4","0","large",5,2,FALSE,0,1,0.6,-13.7400879464849
4,"g2-l1-c45","2",2,"1","4","0","large",5,2,FALSE,0,2,1.6,2.96288038911122
4,"g2-l2-g33","0",2,"2","2","2","large",5,4,FALSE,0,1,0.4,-17.7981334419615
4,"g2-l2-g33","1",2,"2","2","2","large",5,2,FALSE,0,2,1.6,2.84678636415627
4,"g2-l2-g33","2",2,"2","2","2","large",5,6,FALSE,0,2,1,8.06367112199323
4,"g2-l2-g46","0",2,"2","4","0","large",5,10,FALSE,6,0,0,-2305.84968260652
4,"g2-l2-g46","1",2,"2","4","0","large",5,2,FALSE,0,1,0.6,-16.0406513255091
4,"g2-l2-g46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.4,1.71370490728806
4,"g2-l2-n04","0",2,"2","3","0","large",5,8,FALSE,2,0,0,-441.964982372135
4,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,0.693046266687121
4,"g2-l2-n04","2",2,"2","3","0","large",5,6,FALSE,2,1,1,5.42542187556143
4,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-203.909739711423
4,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,0,1,1,-4.44352781607194
4,"g2-l2-n44","2",2,"2","4","0","large",5,6,FALSE,0,2,0.8,4.89582055994581
4,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2504.39188622183
4,"g2-l2-n46","1",2,"2","4","0","large",5,2,FALSE,0,2,0.8,-3.49239129726563
4,"g2-l2-n46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.6,3.09821914878619
4,"g3-l3-c54","0",3,"3","6","0","large",5,10,FALSE,2,0,0,-2118.52501475653
4,"g3-l3-c54","1",3,"3","6","0","large",5,8,FALSE,4,0,0,-529.360855528583
4,"g3-l3-c54","3",3,"3","6","0","large",5,6,FALSE,0,2,2,3.54924986910399
4,"g3-ntc","0",3,"3","4","1","large",5,12,FALSE,4,0,0,-1925.5657781468
4,"g3-ntc","1",3,"3","4","1","large",5,6,FALSE,0,2,0.8,-62.191365562247
4,"g3-ntc","3",3,"3","4","1","large",5,8,FALSE,0,3,2,5.21299273831372
